"Cmdlet","RuleName","Message"
"Import-AzApiManagementApi","Incorrect ParameterType","""Import-AzApiManagementApi -SpecificationFormat ""Wadl"""" is not an expected parameter type."
"Import-AzApiManagementApi","Incorrect ParameterType","""Import-AzApiManagementApi -SpecificationFormat ""Swagger"""" is not an expected parameter type."
"Import-AzApiManagementApi","Incorrect ParameterType","""Import-AzApiManagementApi -SpecificationFormat ""Wadl"""" is not an expected parameter type."
"New-AzApiManagement","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
"New-AzApiManagement","Incorrect ParameterType","""New-AzApiManagement -VpnType ""External"""" is not an expected parameter type."
"New-AzApiManagement","Incorrect ParameterType","""New-AzApiManagement -Sku ""Premium"""" is not an expected parameter type."
"New-AzApiManagement","Invalid ParameterName","""New-AzApiManagementVirtualNetwork -Location"" is not a valid parameter name."
"New-AzApiManagement","Incorrect ParameterType","""New-AzApiManagement -VpnType ""Internal"""" is not an expected parameter type."
"New-AzApiManagement","Incorrect ParameterType","""New-AzApiManagement -Sku ""Premium"""" is not an expected parameter type."
"New-AzApiManagementApi","Incorrect ParameterType","""New-AzApiManagementApi -Protocols @(""http"", ""https"")"" is not an expected parameter type."
"New-AzApiManagementApi","Incorrect ParameterType","""New-AzApiManagementApi -Protocols @(""http"", ""https"")"" is not an expected parameter type."
"New-AzApiManagementApi","Incorrect ParameterType","""New-AzApiManagementApi -ApiVersionSetId $versionSet.ApiVersionSetId"" is not an expected parameter type."
"New-AzApiManagementApi","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementApi","Unassigned Parameter","""New-AzApiManagementApi -Context"" must be assigned with a value."
"New-AzApiManagementApiRelease","Unassigned Variable","""New-AzApiManagementApiRelease -Context $context is a null-valued parameter value."""
"New-AzApiManagementApiRevision","Unassigned Variable","""New-AzApiManagementApiRevision -Context $context is a null-valued parameter value."""
"New-AzApiManagementApiRevision","Unassigned Variable","""New-AzApiManagementApiRevision -Context $context is a null-valued parameter value."""
"New-AzApiManagementAuthorizationServer","Incorrect ParameterType","""New-AzApiManagementAuthorizationServer -AuthorizationRequestMethods @('Get', 'Post')"" is not an expected parameter type."
"New-AzApiManagementAuthorizationServer","Incorrect ParameterType","""New-AzApiManagementAuthorizationServer -GrantTypes @( 'AuthorizationCode', 'Implicit', 'ResourceOwnerPassword', 'ClientCredentials')"" is not an expected parameter type."
"New-AzApiManagementAuthorizationServer","Incorrect ParameterType","""New-AzApiManagementAuthorizationServer -ClientAuthenticationMethods @('Basic')"" is not an expected parameter type."
"New-AzApiManagementAuthorizationServer","Incorrect ParameterType","""New-AzApiManagementAuthorizationServer -AccessTokenSendingMethods @('AuthorizationHeader', 'Query')"" is not an expected parameter type."
"New-AzApiManagementAuthorizationServer","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementAuthorizationServer","Unassigned Parameter","""New-AzApiManagementAuthorizationServer -Context"" must be assigned with a value."
"New-AzApiManagementBackend","Unassigned Variable","""New-AzApiManagementBackend -SkipCertificateChainValidation $true is a null-valued parameter value."""
"New-AzApiManagementBackendCredential","Unassigned Variable","""New-AzApiManagementBackend -SkipCertificateChainValidation $true is a null-valued parameter value."""
"New-AzApiManagementBackendProxy","Incorrect ParameterType","""New-AzApiManagementBackendProxy -ProxyCredential $proxyCreds"" is not an expected parameter type."
"New-AzApiManagementBackendProxy","Unassigned Variable","""New-AzApiManagementBackend -SkipCertificateChainValidation $true is a null-valued parameter value."""
"New-AzApiManagementBackendServiceFabric","Invalid ParameterName","""New-AzApiManagementBackend -PassThru"" is not a valid parameter name."
"New-AzApiManagementCache","Unassigned Variable","""New-AzApiManagementCache -Context $context is a null-valued parameter value."""
"New-AzApiManagementCertificate","RedirectionNotSupported","The '<' operator is reserved for future use."
"New-AzApiManagementCertificate","Unassigned Parameter","""New-AzApiManagementCertificate -Context"" must be assigned with a value."
"New-AzApiManagementCertificate","Unassigned Variable","""New-AzApiManagementCertificate -Context $context is a null-valued parameter value."""
"New-AzApiManagementCertificate","Unassigned Variable","""New-AzApiManagementCertificate -CertificateId $kvcertId is a null-valued parameter value."""
"New-AzApiManagementCustomHostnameConfiguration","Incorrect ParameterType","""New-AzApiManagementCustomHostnameConfiguration -PfxPassword ""1111"""" is not an expected parameter type."
"New-AzApiManagementCustomHostnameConfiguration","Incorrect ParameterType","""New-AzApiManagement -CustomHostnameConfiguration $customConfig"" is not an expected parameter type."
"New-AzApiManagementCustomHostnameConfiguration","Incorrect ParameterType","""New-AzApiManagement -CustomHostnameConfiguration $customConfig"" is not an expected parameter type."
